timestamp,Heidelberg,Bamberg,Eberbach
2023-03-06 14:57:27.211973,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 14:57:48.962419,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 15:33:31.812041,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:51:39.651341,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:52:36.524967,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:53:55.036065,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:55:42.820135,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:56:18.558398,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:59:14.109924,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:59:54.212243,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:02:11.550088,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:02:41.625167,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:04:09.445690,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:04:40.406642,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:06:37.207244,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:07:26.830001,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:08:38.546138,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:09:07.144735,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:12:26.446182,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:13:35.328172,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:14:10.148280,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:15:55.945552,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:17:28.739783,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:20:30.434489,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:33:21.793300,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:36:07.522933,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:39:17.496180,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:40:54.424916,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:41:46.002558,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:42:13.686640,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:43:17.727202,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:44:31.482297,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:45:41.395513,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:46:34.130475,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:48:50.200993,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:49:35.283650,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:50:08.522463,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:51:10.318719,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:51:53.315934,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:52:30.823121,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:53:00.384264,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-05 15:55:03.901147,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-05 15:55:24.674468,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:45:46.763043,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:46:09.689310,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 16:57:46.270229,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-06 17:26:49.566654,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 12:11:51.683491,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-07 12:12:13.248974,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-07 12:41:23.012855,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-07 12:41:56.141385,"('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')","('stagnierend', 'keine vorhanden')"
2023-03-07 14:11:13.075948,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 14:11:33.678952,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 15:26:49.423053,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 15:27:12.300980,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 16:22:58.182502,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 16:23:22.982980,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 19:01:04.876367,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 19:01:29.107982,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 19:06:33.508633,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'ausreichend vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 19:09:18.486052,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 20:11:54.415912,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'ausreichend vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-07 22:04:34.252681,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'ausreichend vorhanden')","('stagnierend', 'ausreichend vorhanden')"
2023-03-07 22:27:54.041379,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'ausreichend vorhanden')","('stagnierend', 'ausreichend vorhanden')"
2023-03-07 22:28:18.346100,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'ausreichend vorhanden')","('stagnierend', 'ausreichend vorhanden')"
2023-03-07 22:35:24.985646,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'ausreichend vorhanden')","('stagnierend', 'ausreichend vorhanden')"
2023-03-07 22:38:22.714345,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'ausreichend vorhanden')","('stagnierend', 'ausreichend vorhanden')"
2023-03-07 22:38:48.269386,"('abnehmend', 'wenige vorhanden')","('stagnierend', 'ausreichend vorhanden')","('stagnierend', 'ausreichend vorhanden')"
2023-03-08 16:44:00.802117,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-08 16:44:31.082071,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-09 16:42:36.395761,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
2023-03-09 16:43:02.881520,"('abnehmend', 'wenige vorhanden')","('abnehmend', 'keine vorhanden')","('abnehmend', 'wenige vorhanden')"
